Month,Ridership
1991 Jan,1708.917
1991 Feb,1620.586
1991 Mar,1972.715
1991 Apr,1811.665
1991 May,1974.964
1991 Jun,1862.356
1991 Jul,1939.86
1991 Aug,2013.264
1991 Sep,1595.657
1991 Oct,1724.924
1991 Nov,1675.667
1991 Dec,1813.863
1992 Jan,1614.827
1992 Feb,1557.088
1992 Mar,1891.223
1992 Apr,1955.981
1992 May,1884.714
1992 Jun,1623.042
1992 Jul,1903.309
1992 Aug,1996.712
1992 Sep,1703.897
1992 Oct,1810
1992 Nov,1861.601
1992 Dec,1875.122
1993 Jan,1705.259
1993 Feb,1618.535
1993 Mar,1836.709
1993 Apr,1957.043
1993 May,1917.185
1993 Jun,1882.398
1993 Jul,1933.009
1993 Aug,1996.167
1993 Sep,1672.841
1993 Oct,1752.827
1993 Nov,1720.377
1993 Dec,1734.292
1994 Jan,1563.365
1994 Feb,1573.959
1994 Mar,1902.639
1994 Apr,1833.888
1994 May,1831.049
1994 Jun,1775.755
1994 Jul,1867.508
1994 Aug,1906.608
1994 Sep,1685.632
1994 Oct,1778.546
1994 Nov,1775.995
1994 Dec,1783.35
1995 Jan,1548.415
1995 Feb,1496.925
1995 Mar,1798.316
1995 Apr,1732.895
1995 May,1772.345
1995 Jun,1761.207
1995 Jul,1791.655
1995 Aug,1874.82
1995 Sep,1571.309
1995 Oct,1646.948
1995 Nov,1672.631
1995 Dec,1656.845
1996 Jan,1381.758
1996 Feb,1360.852
1996 Mar,1558.575
1996 Apr,1608.42
1996 May,1696.696
1996 Jun,1693.183
1996 Jul,1835.516
1996 Aug,1942.573
1996 Sep,1551.401
1996 Oct,1686.508
1996 Nov,1576.204
1996 Dec,1700.433
1997 Jan,1396.588
1997 Feb,1371.69
1997 Mar,1707.522
1997 Apr,1654.604
1997 May,1762.903
1997 Jun,1775.8
1997 Jul,1934.219
1997 Aug,2008.055
1997 Sep,1615.924
1997 Oct,1773.91
1997 Nov,1732.368
1997 Dec,1796.626
1998 Jan,1570.33
1998 Feb,1412.691
1998 Mar,1754.641
1998 Apr,1824.932
1998 May,1843.289
1998 Jun,1825.964
1998 Jul,1968.172
1998 Aug,1921.645
1998 Sep,1669.597
1998 Oct,1791.474
1998 Nov,1816.714
1998 Dec,1846.754
1999 Jan,1599.427
1999 Feb,1548.804
1999 Mar,1832.333
1999 Apr,1839.72
1999 May,1846.498
1999 Jun,1864.852
1999 Jul,1965.743
1999 Aug,1949.002
1999 Sep,1607.373
1999 Oct,1803.664
1999 Nov,1850.309
1999 Dec,1836.435
2000 Jan,1541.66
2000 Feb,1616.928
2000 Mar,1919.538
2000 Apr,1971.493
2000 May,1992.301
2000 Jun,2009.763
2000 Jul,2053.996
2000 Aug,2097.471
2000 Sep,1823.706
2000 Oct,1976.997
2000 Nov,1981.408
2000 Dec,2000.153
2001 Jan,1683.148
2001 Feb,1663.404
2001 Mar,2007.928
2001 Apr,2023.792
2001 May,2047.008
2001 Jun,2072.913
2001 Jul,2126.717
2001 Aug,2202.638
2001 Sep,1707.693
2001 Oct,1950.716
2001 Nov,1973.614
2001 Dec,1984.729
2002 Jan,1759.629
2002 Feb,1770.595
2002 Mar,2019.912
2002 Apr,2048.398
2002 May,2068.763
2002 Jun,1994.267
2002 Jul,2075.258
2002 Aug,2026.56
2002 Sep,1734.155
2002 Oct,1916.771
2002 Nov,1858.345
2002 Dec,1996.352
2003 Jan,1778.033
2003 Feb,1749.489
2003 Mar,2066.466
2003 Apr,2098.899
2003 May,2104.911
2003 Jun,2129.671
2003 Jul,2223.349
2003 Aug,2174.36
2003 Sep,1931.406
2003 Oct,2121.47
2003 Nov,2076.054
2003 Dec,2140.677
2004 Jan,1831.508
2004 Feb,1838.006
2004 Mar,2132.446
