Day,Number.of.vehicles
01-Nov-03,103536
02-Nov-03,92051
03-Nov-03,100795
04-Nov-03,102352
05-Nov-03,106569
06-Nov-03,106284
07-Nov-03,113111
08-Nov-03,96806
09-Nov-03,86811
10-Nov-03,99194
11-Nov-03,102253
12-Nov-03,105707
13-Nov-03,107011
14-Nov-03,113588
15-Nov-03,97066
16-Nov-03,83848
17-Nov-03,99770
18-Nov-03,102281
19-Nov-03,104951
20-Nov-03,108397
21-Nov-03,115567
22-Nov-03,99758
23-Nov-03,88487
24-Nov-03,102773
25-Nov-03,107040
26-Nov-03,108092
27-Nov-03,109490
28-Nov-03,115048
29-Nov-03,101161
30-Nov-03,90733
01-Dec-03,101716
02-Dec-03,102497
03-Dec-03,108085
04-Dec-03,108811
05-Dec-03,113805
06-Dec-03,94656
07-Dec-03,85336
08-Dec-03,104140
09-Dec-03,105500
10-Dec-03,106046
11-Dec-03,111200
12-Dec-03,114801
13-Dec-03,97659
14-Dec-03,85532
15-Dec-03,102585
16-Dec-03,103496
17-Dec-03,110116
18-Dec-03,110804
19-Dec-03,115991
20-Dec-03,98807
21-Dec-03,78903
22-Dec-03,95771
23-Dec-03,94262
24-Dec-03,85453
25-Dec-03,79812
26-Dec-03,79697
27-Dec-03,88279
28-Dec-03,73671
29-Dec-03,85261
30-Dec-03,84747
31-Dec-03,69097
01-Jan-04,53098
02-Jan-04,62895
03-Jan-04,86079
04-Jan-04,70426
05-Jan-04,85305
06-Jan-04,88929
07-Jan-04,93399
08-Jan-04,94986
09-Jan-04,103527
10-Jan-04,89082
11-Jan-04,74378
12-Jan-04,93447
13-Jan-04,96083
14-Jan-04,101949
15-Jan-04,101859
16-Jan-04,107845
17-Jan-04,88817
18-Jan-04,75774
19-Jan-04,97604
20-Jan-04,94226
21-Jan-04,102939
22-Jan-04,105527
23-Jan-04,113448
24-Jan-04,95411
25-Jan-04,76837
26-Jan-04,91946
27-Jan-04,85353
28-Jan-04,91359
29-Jan-04,86544
30-Jan-04,105640
31-Jan-04,92171
01-Feb-04,80610
02-Feb-04,94744
03-Feb-04,96471
04-Feb-04,100312
05-Feb-04,101446
06-Feb-04,110229
07-Feb-04,93996
08-Feb-04,71021
09-Feb-04,93971
10-Feb-04,97976
11-Feb-04,97897
12-Feb-04,102504
13-Feb-04,109063
14-Feb-04,94801
15-Feb-04,80870
16-Feb-04,97986
17-Feb-04,102483
18-Feb-04,102183
19-Feb-04,106061
20-Feb-04,115648
21-Feb-04,102771
22-Feb-04,84360
23-Feb-04,88331
24-Feb-04,94749
25-Feb-04,104769
26-Feb-04,103626
27-Feb-04,115352
28-Feb-04,106147
29-Feb-04,87204
01-Mar-04,101010
02-Mar-04,99848
03-Mar-04,106266
04-Mar-04,108204
05-Mar-04,114861
06-Mar-04,107211
07-Mar-04,88627
08-Mar-04,101613
09-Mar-04,104557
10-Mar-04,106943
11-Mar-04,107516
12-Mar-04,118280
13-Mar-04,104538
14-Mar-04,87602
15-Mar-04,100617
16-Mar-04,104013
17-Mar-04,109856
18-Mar-04,108294
19-Mar-04,115030
20-Mar-04,103035
21-Mar-04,88306
22-Mar-04,101895
23-Mar-04,104498
24-Mar-04,106992
25-Mar-04,110311
26-Mar-04,119509
27-Mar-04,107610
28-Mar-04,93377
29-Mar-04,106440
30-Mar-04,107497
31-Mar-04,112579
01-Apr-04,112039
02-Apr-04,118536
03-Apr-04,106769
04-Apr-04,90149
05-Apr-04,107382
06-Apr-04,109815
07-Apr-04,115853
08-Apr-04,118665
09-Apr-04,81981
10-Apr-04,89445
11-Apr-04,85947
12-Apr-04,77578
13-Apr-04,106787
14-Apr-04,78507
15-Apr-04,98904
16-Apr-04,112033
17-Apr-04,99020
18-Apr-04,87171
19-Apr-04,103383
20-Apr-04,105724
21-Apr-04,109132
22-Apr-04,109921
23-Apr-04,113525
24-Apr-04,99976
25-Apr-04,89964
26-Apr-04,103502
27-Apr-04,105079
28-Apr-04,108907
29-Apr-04,108459
30-Apr-04,117628
01-May-04,100073
02-May-04,93067
03-May-04,102423
04-May-04,105466
05-May-04,108400
06-May-04,109673
07-May-04,115044
08-May-04,103755
09-May-04,91948
10-May-04,103312
11-May-04,105942
12-May-04,109693
13-May-04,108975
14-May-04,117470
15-May-04,102822
16-May-04,93955
17-May-04,101511
18-May-04,105379
19-May-04,118356
20-May-04,84766
21-May-04,99979
22-May-04,93063
23-May-04,93867
24-May-04,104688
25-May-04,105479
26-May-04,108257
27-May-04,111329
28-May-04,121513
29-May-04,102222
30-May-04,84476
31-May-04,81597
01-Jun-04,106469
02-Jun-04,113571
03-Jun-04,109995
04-Jun-04,116871
05-Jun-04,108218
06-Jun-04,93682
07-Jun-04,103733
08-Jun-04,104821
09-Jun-04,110010
10-Jun-04,103267
11-Jun-04,115401
12-Jun-04,99566
13-Jun-04,89032
14-Jun-04,103685
15-Jun-04,106686
16-Jun-04,109912
17-Jun-04,110514
18-Jun-04,120484
19-Jun-04,102527
20-Jun-04,90057
21-Jun-04,103136
22-Jun-04,95408
23-Jun-04,108925
24-Jun-04,112258
25-Jun-04,119767
26-Jun-04,102811
27-Jun-04,93380
28-Jun-04,106979
29-Jun-04,108257
30-Jun-04,111202
01-Jul-04,114077
02-Jul-04,120623
03-Jul-04,103581
04-Jul-04,93136
05-Jul-04,106387
06-Jul-04,105236
07-Jul-04,108627
08-Jul-04,109238
09-Jul-04,115837
10-Jul-04,96114
11-Jul-04,86720
12-Jul-04,100565
13-Jul-04,102154
14-Jul-04,104933
15-Jul-04,106651
16-Jul-04,111294
17-Jul-04,92630
18-Jul-04,83477
19-Jul-04,98319
20-Jul-04,96499
21-Jul-04,100800
22-Jul-04,101011
23-Jul-04,107933
24-Jul-04,90920
25-Jul-04,84247
26-Jul-04,97542
27-Jul-04,98893
28-Jul-04,103401
29-Jul-04,106127
30-Jul-04,111487
31-Jul-04,92582
01-Aug-04,77964
02-Aug-04,102841
03-Aug-04,101146
04-Aug-04,106045
05-Aug-04,109784
06-Aug-04,121901
07-Aug-04,102211
08-Aug-04,96986
09-Aug-04,105725
10-Aug-04,107870
11-Aug-04,113653
12-Aug-04,114267
13-Aug-04,122277
