"Date","Store","Dept","Weekly_Sales","IsHoliday","Week.No"
2010-02-05,1,5,32229.38,FALSE,1
2010-02-12,1,5,29620.81,TRUE,2
2010-02-19,1,5,26468.27,FALSE,3
2010-02-26,1,5,24101.89,FALSE,4
2010-03-05,1,5,23082.14,FALSE,5
2010-03-12,1,5,21498.92,FALSE,6
2010-03-19,1,5,22632.57,FALSE,7
2010-03-26,1,5,38971.89,FALSE,8
2010-04-02,1,5,29967.92,FALSE,9
2010-04-09,1,5,18516.45,FALSE,10
2010-04-16,1,5,11570.27,FALSE,11
2010-04-23,1,5,24763.98,FALSE,12
2010-04-30,1,5,22006.41,FALSE,13
2010-05-07,1,5,19260.44,FALSE,14
2010-05-14,1,5,16891.66,FALSE,15
2010-05-21,1,5,16157.17,FALSE,16
2010-05-28,1,5,15784.6,FALSE,17
2010-06-04,1,5,22932.26,FALSE,18
2010-06-11,1,5,21817.36,FALSE,19
2010-06-18,1,5,19778.44,FALSE,20
2010-06-25,1,5,19054.58,FALSE,21
2010-07-02,1,5,18887.71,FALSE,22
2010-07-09,1,5,20249.54,FALSE,23
2010-07-16,1,5,17918.22,FALSE,24
2010-07-23,1,5,17313.46,FALSE,25
2010-07-30,1,5,16472.48,FALSE,26
2010-08-06,1,5,16926.17,FALSE,27
2010-08-13,1,5,15544.62,FALSE,28
2010-08-20,1,5,15412.44,FALSE,29
2010-08-27,1,5,13570.32,FALSE,30
2010-09-03,1,5,15390.52,FALSE,31
2010-09-10,1,5,17776.56,TRUE,32
2010-09-17,1,5,15862.61,FALSE,33
2010-09-24,1,5,17039.38,FALSE,34
2010-10-01,1,5,23381.38,FALSE,35
2010-10-08,1,5,19853.57,FALSE,36
2010-10-15,1,5,20443.05,FALSE,37
2010-10-22,1,5,19525.85,FALSE,38
2010-10-29,1,5,16377.46,FALSE,39
2010-11-05,1,5,23903.81,FALSE,40
2010-11-12,1,5,23698.89,FALSE,41
2010-11-19,1,5,24716.49,FALSE,42
2010-11-26,1,5,70158.86,TRUE,43
2010-12-03,1,5,36472.02,FALSE,44
2010-12-10,1,5,49517.17,FALSE,45
2010-12-17,1,5,59589.48,FALSE,46
2010-12-24,1,5,85676.09,FALSE,47
2010-12-31,1,5,32280.82,TRUE,48
2011-01-07,1,5,22699.69,FALSE,49
2011-01-14,1,5,17445.37,FALSE,50
2011-01-21,1,5,18438.07,FALSE,51
2011-01-28,1,5,22118.7,FALSE,52
2011-02-04,1,5,31280.62,FALSE,53
2011-02-11,1,5,36667.65,TRUE,54
